type,content
h1,World War II
h2,Contents
h2,Start and end dates
h2,Background
h2,Pre-war events
h2,Course of the war
h2,Aftermath
h2,Impact
h2,See also
h2,Notes
h2,References
h2,Further reading
h2,External links
h3,Aftermath of World War I
h3,Germany and Italy
h3,European treaties
h3,Asia
h3,Italian invasion of Ethiopia (1935)
h3,Spanish Civil War (1936–1939)
h3,Japanese invasion of China (1937)
h3,Soviet–Japanese border conflicts
h3,European occupations and agreements
h3,War breaks out in Europe (1939–1940)
h3,Western Europe (1940–1941)
h3,Mediterranean (1940–1941)
h3,Axis attack on the Soviet Union (1941)
h3,War breaks out in the Pacific (1941)
h3,Axis advance stalls (1942–1943)
h3,Pacific (1942–1943)
h3,Eastern Front (1942–1943)
h3,Western Europe/Atlantic and Mediterranean (1942–1943)
h3,Allies gain momentum (1943–1944)
h3,Allies close in (1944)
h3,Axis collapse and Allied victory (1944–1945)
h3,Casualties and war crimes
h3,"Genocide, concentration camps, and slave labour"
h3,Occupation
h3,Home fronts and production
h3,Advances in technology and its application
h3,Sources
paragraph,Asia-Pacific
paragraph,Mediterranean and Middle East
paragraph,Other campaigns
paragraph,Coups
paragraph,"World War II[b]or theSecond World War(1 September 1939 – 2 September 1945) was aglobal conflictbetween two coalitions: theAlliesand theAxis powers.Nearly all of the world's countriesparticipated, with many nations mobilising all resources in pursuit oftotal war.Tanksandaircraft played major roles, enabling thestrategic bombingof cities and delivery of thefirst and only nuclear weaponsever used in war. World War II was thedeadliest conflictin history, resulting in70 to 85 million deaths, more than half of which were civilians. Millions died ingenocides, includingthe Holocaust, and by massacres, starvation, and disease. After the Allied victory,Germany,Austria,Japan, andKoreawere occupied, and German and Japanese leaders were tried forwar crimes."
paragraph,"Thecauses of World War IIincluded unresolved tensions in theaftermath of World War Iand the rises offascism in Europeandmilitarism in Japan. Key events preceding the war includedJapan's invasion of Manchuriain 1931, theSpanish Civil War, the outbreak of theSecond Sino-Japanese Warin 1937, and Germany'sannexations of Austriaandthe Sudetenland. World War II is generally considered to have begun on 1 September 1939, whenNazi Germany, underAdolf Hitler,invaded Poland, after which theUnited KingdomandFrancedeclared war on Germany. Poland was divided between Germany and theSoviet Unionunder theMolotov–Ribbentrop Pact. In 1940, the Sovietsannexed the Baltic statesandparts of FinlandandRomania. After thefall of Francein June 1940, the war continued mainly between Germany and theBritish Empire, with fighting in theBalkans,Mediterranean, and Middle East, the aerialBattle of Britainandthe Blitz, and navalBattle of the Atlantic. Through campaigns and treaties, Germany gained control of much ofcontinental Europeandformed the Axis alliancewithItaly,Japan, and other countries. In June 1941, Germany ledan invasion of the Soviet Union, opening theEastern Frontand initially making large territorial gains."
